year,company_id,ranking,is_public,statement_id,revenue,total_assets,equity,income_before_tax,income_tax,employee_count,total_income,operating_income,net_income,segment_code,industry_code_level1,industry_code_level6,current_ratio,quick_ratio,asset_leverage,equity_leverage,fixed_assets,short_term_assets,long_term_assets,interest_coverage,leverage,financial_leverage,current_equity,non_current_equity,short_long_term_leverage,receivables_turnover,fixed_assets_turnover,asset_turnover,avg_collection_period,avg_payment_period,sales_expense_impact,financial_burden,roe_assets,gross_margin,operating_margin,net_sales_margin,roe_equity,roe_assets_calc,roe,roa,equity_strength,financial_expenses,sgna_expenses,depreciation,amortization,cost_of_goods_sold,total_debt,short_term_debt,total_expenses,n,max,x,y,total_liabilities,company_size
2023,118487,903,0,2263199,24492822.0,11594662.0,5651658.0,2421629.5,616348.9375,100,24590222.0,2848975.75,1813747.0,4,,,1.8400000333786,0.300000011920929,0.509999990463257,1.04999995231628,3.73000001907349,0.910000026226044,0.0799999982118607,-87.0699996948242,2.04999995231628,2.16000008583069,0.680000007152557,0.0,0.680000007152557,33.2599983215332,16.1800003051758,2.10999989509583,127.0,745453.3125,0.419999986886978,0.0,0.150000005960464,0.230000004172325,-135.160003662109,0.0700000002980232,-2.3199999332428,-1.12999999523163,0.319999992847443,0.150000005960464,0.0,151189.109375,2402672.0,106546.5234375,0.0,18828918.0,214882.375,0.0,2912328.75,2,8,-0.00642947852611542,-0.000923007726669312,5943004.0,4
2023,169765,20445,0,2256532,190844.40625,328936.84375,210170.890625,264.940002441406,68.5699996948242,5,190844.40625,311.700012207031,196.369995117188,2,,,3.82999992370605,2.91000008583069,0.360000014305115,0.560000002384186,3.28999996185303,0.579999983310699,0.409999996423721,0.0,1.55999994277954,1.55999994277954,0.270000010728836,0.230000004172325,0.509999990463257,4.09999990463257,2.99000000953674,0.579999983310699,0.0,30684.490234375,0.990000009536743,0.0,0.0,0.529999971389771,0.0,0.0,0.0500000007450581,0.0299999993294477,0.0,0.0,0.0500000007450581,0.0,101383.890625,0.0,0.0,89148.8125,9177.8603515625,0.0,101383.890625,6,8,-0.000596983882132918,-0.000934334879275411,118765.953125,2
2023,86258,9547,0,2232158,927922.75,935270.25,471450.75,4328.5,1660.57995605469,12,942368.5,5092.35009765625,1996.31005859375,2,,,8.27000045776367,6.40999984741211,0.490000009536743,0.980000019073486,5.40999984741211,0.209999993443489,0.779999971389771,-2.77999997138977,1.98000001907349,-0.409999996423721,0.0700000002980232,0.0,0.0700000002980232,4.73000001907349,10.6499996185303,0.990000009536743,185.65,2231.1298828125,0.949999988079071,0.0299999993294477,0.0,0.449999988079071,-5.71999979019165,0.0,-0.170000001788139,-0.0799999982118607,0.0,0.0,0.0199999995529652,29661.560546875,402319.0,6150.35986328125,0.0,505295.59375,34853.44140625,0.0,431980.5625,4,8,-0.00213447399437428,-0.00423439778387547,463819.5,2
2023,116750,3382,0,2210617,4758637.5,3347046.5,966808.0625,231925.1875,88760.4765625,39,4814913.5,272853.15625,143164.703125,3,,,1.22000002861023,1.21000003814697,0.709999978542328,2.46000003814697,1.75,0.959999978542328,0.0299999993294477,-11.9300003051758,3.46000003814697,5.07000017166138,0.340000003576279,0.0,0.340000003576279,6.6399998664856,8.63000011444092,1.41999995708466,1708.17,81070.921875,0.560000002384186,0.00999999977648258,0.0399999991059303,0.140000000596046,-18.3700008392334,0.0299999993294477,-1.05999994277954,-0.300000011920929,0.140000000596046,0.0399999991059303,0.0,86622.703125,401758.28125,29498.830078125,0.0,4053679.25,61967.6484375,0.0,488381.0,5,8,-0.00277344509959221,-0.00807975232601166,2380238.5,3
2023,86400,9571,0,2249201,917660.5625,873734.375,612733.625,-64715.2890625,0.0,25,919070.75,-64715.2890625,-64715.2890625,2,,,3.23000001907349,3.16000008583069,0.28999999165535,0.419999986886978,6.09000015258789,0.910000026226044,0.0799999982118607,201.070007324219,1.41999995708466,1.49000000953674,0.259999990463257,0.0,0.259999990463257,1.57000005245209,9.11999988555908,1.04999995231628,0.0,458886.40625,1.0900000333786,0.0,0.0700000002980232,0.699999988079071,418.929992675781,0.0700000002980232,0.959999978542328,0.670000016689301,0.100000001490116,0.0700000002980232,0.810000002384186,2937.9599609375,712127.8125,80181.390625,0.0,268720.25,0.0,0.0,715065.75,6,8,0.144067466259003,0.205617338418961,261000.75,2
2023,169776,4808,0,2222380,1829642.5,3285047.25,726277.25,328169.5625,89298.953125,15,1864497.0,386081.8125,244325.265625,3,,,1.71000003814697,1.07000005245209,0.769999980926514,3.51999998092651,72.2799987792969,0.310000002384186,0.680000007152557,4.13000011444092,4.51999998092651,5.84000015258789,0.119999997317791,0.0,0.119999997317791,36.7700004577637,182.100006103516,0.550000011920929,0.0,10196.26953125,0.589999973773956,0.0399999991059303,0.0700000002980232,0.589999973773956,10.3299999237061,0.129999995231628,0.490000009536743,0.100000001490116,0.330000013113022,0.0700000002980232,0.129999995231628,87220.7109375,656553.125,0.0,0.0,734641.375,0.0,0.0,743773.8125,1,8,-0.00437495857477188,-0.00640770792961121,2558770.0,3
2023,18711,10428,0,2261433,402785.53125,1278426.0,251993.109375,0.0,1359.58996582031,5,402785.53125,7001.1298828125,4591.3701171875,2,,,1.05999994277954,0.790000021457672,0.800000011920929,4.07000017166138,1.37999999523163,1.0,0.0,-2555.11010742188,5.07000017166138,5.1399998664856,4.01999998092651,0.0,4.01999998092651,3.84999990463257,2.21000003814697,0.310000002384186,0.0,0.0,0.899999976158142,0.0,0.0,0.189999997615814,0.0,0.00999999977648258,-0.970000028610229,-0.189999997615814,0.00999999977648258,0.0,0.0,95.9800033569336,71675.84375,16750.0,0.0,324012.5625,430.459991455078,0.0,71771.8203125,4,8,-0.00359142431989312,-0.00822022184729576,1026432.875,2
2023,86167,1186,0,2302030,20732630.0,6947657.0,1962277.25,0.0,94126.84375,271,20746800.0,369434.125,219892.171875,4,,,0.860000014305115,0.540000021457672,0.709999978542328,2.53999996185303,0.980000019073486,0.860000014305115,0.129999995231628,-158.139999389648,3.53999996185303,4.25,0.25,0.0,0.259999990463257,11.3999996185303,10.4300003051758,2.98000001907349,5359.19,17205.630859375,0.920000016689301,0.0,0.0299999993294477,0.259999990463257,-692.25,0.00999999977648258,-4.98999977111816,-1.4099999666214,0.109999999403954,0.0299999993294477,0.180000007152557,62021.55078125,5044792.5,34560.26171875,0.0,15270551.0,388375.15625,0.0,5106814.0,4,8,-0.00164983235299587,-0.0020596832036972,4985380.0,4
2023,169739,8985,0,2282479,1602418.25,612433.0625,158159.5,48521.80078125,12130.4501953125,8,1602418.25,57084.46875,36391.3515625,3,,,1.3400000333786,0.970000028610229,0.740000009536743,2.86999988555908,0.0,1.0,0.0,0.0,3.86999988555908,3.86999988555908,2.73000001907349,0.0,2.73000001907349,4.11999988555908,0.0,2.60999989509583,0.0,140628.3125,0.639999985694885,0.0,0.0500000007450581,0.140000000596046,0.0,0.0199999995529652,-7.15000009536743,-1.8400000333786,0.230000004172325,0.0500000007450581,0.0,0.0,150902.515625,0.0,0.0,1366807.25,0.0,0.0,178526.5625,3,8,-0.00942094624042511,-0.000092729926109314,454273.5625,3
2023,141955,6125,0,2268531,2603737.5,1344897.0,114215.9921875,52498.640625,16574.529296875,66,2603737.5,61763.1015625,34127.8984375,3,,,0.670000016689301,0.509999990463257,0.910000026226044,10.7700004577637,0.159999996423721,0.730000019073486,0.259999990463257,8.51000022888184,11.7700004577637,13.8400001525879,6.23999977111816,1.39999997615814,7.6399998664856,7.55999994277954,3.85999989509583,1.92999994754791,0.0,398463.21875,0.939999997615814,0.0,0.0199999995529652,0.509999990463257,0.0,0.00999999977648258,0.680000007152557,0.0500000007450581,0.28999999165535,0.0199999995529652,0.0799999982118607,9228.0400390625,1270179.625,0.0,0.0,1262566.75,7703.669921875,13075.48046875,1279407.625,4,8,-0.00537584535777569,-0.00880140066146851,1230681.0,3
